#freq	 asd
20.0	 3.070226099165988e-22
20.25	 2.965569641738329e-22
20.5	 2.8596351690381764e-22
20.75	 2.7613873686971193e-22
21.0	 2.666847783432718e-22
21.25	 2.576159156573988e-22
21.5	 2.4801311658861913e-22
21.75	 2.391363585906585e-22
22.0	 2.3102271966194147e-22
22.25	 2.231709927387518e-22
22.5	 2.1564449216244776e-22
22.75	 2.085007529962422e-22
23.0	 2.0139374866167023e-22
23.25	 1.944085131880803e-22
23.5	 1.8745703241009657e-22
23.75	 1.8093215579326965e-22
24.0	 1.7473850749047846e-22
24.25	 1.6884664935970747e-22
24.5	 1.633279767829137e-22
24.75	 1.5771532265445865e-22
25.0	 1.5215399107483183e-22
25.25	 1.470095677158463e-22
25.5	 1.421308727898341e-22
25.75	 1.3717687851821094e-22
26.0	 1.3268646879015207e-22
26.25	 1.2852491976266704e-22
26.5	 1.2433263851459118e-22
26.75	 1.2040905281580782e-22
27.0	 1.1670933553062497e-22
27.25	 1.1297408552407052e-22
27.5	 1.0938431331776966e-22
27.75	 1.060032499501784e-22
28.0	 1.0269913339459101e-22
28.25	 9.97636206239529e-23
28.5	 9.681435224180349e-23
28.75	 9.38502818322886e-23
29.0	 9.10425444503832e-23
29.25	 8.844866929468187e-23
29.5	 8.586525898173254e-23
29.75	 8.342621050964738e-23
30.0	 8.107571954660655e-23
30.25	 7.881409772369407e-23
30.5	 7.663343982883712e-23
30.75	 7.444662383211209e-23
31.0	 7.233052605919578e-23
31.25	 7.031941837074593e-23
31.5	 6.83833985701208e-23
31.75	 6.651963244035554e-23
32.0	 6.472539841515076e-23
32.25	 6.299808568520158e-23
32.5	 6.1342134785154e-23
32.75	 5.980128175883857e-23
33.0	 5.836191223734876e-23
33.25	 5.703068998355184e-23
33.5	 5.567634955706059e-23
33.75	 5.426129099090806e-23
34.0	 5.286600987402019e-23
34.25	 5.161187072757584e-23
34.5	 5.043388840848978e-23
34.75	 4.92517136757697e-23
35.0	 4.8113324557756345e-23
35.25	 4.7017164950685826e-23
35.5	 4.597089949087357e-23
35.75	 4.499738770195443e-23
36.0	 4.4042925652140775e-23
36.25	 4.310081785766948e-23
36.5	 4.219451978634192e-23
36.75	 4.138667660008472e-23
37.0	 4.060935360234142e-23
37.25	 3.9857942746709847e-23
37.5	 3.916135595200963e-23
37.75	 3.848464758835658e-23
38.0	 3.782729305673352e-23
38.25	 3.718761756283938e-23
38.5	 3.661253883575953e-23
38.75	 3.6032858615435995e-23
39.0	 3.5460923563832907e-23
39.25	 3.493957068997843e-23
39.5	 3.443782513458131e-23
39.75	 3.3954989324103754e-23
40.0	 3.3464932391983106e-23
40.25	 3.2982915274426547e-23
40.5	 3.252885642010798e-23
40.75	 3.2109643411286897e-23
41.0	 3.1708787425570216e-23
41.25	 3.13166466914962e-23
41.5	 3.093490892179901e-23
41.75	 3.056588277802557e-23
42.0	 3.0190942350314274e-23
42.25	 2.983141397922666e-23
42.5	 2.9496507420370974e-23
42.75	 2.916290229040999e-23
43.0	 2.883516464319217e-23
43.25	 2.851328988384189e-23
43.5	 2.821238593242337e-23
43.75	 2.792484252417549e-23
44.0	 2.76449389581529e-23
