#freq	 asd
16.0	 2.1022606879262144e-21
16.25	 1.9835914397879418e-21
16.5	 1.8718680509052983e-21
16.75	 1.7668531348134173e-21
17.0	 1.6677604744087203e-21
17.25	 1.5745015084146475e-21
17.5	 1.4872087950250967e-21
17.75	 1.4044233692159926e-21
18.0	 1.3267592095026135e-21
18.25	 1.2537503738783091e-21
18.5	 1.1851561078609012e-21
18.75	 1.120671673595795e-21
19.0	 1.0597782786979548e-21
19.25	 1.0020254487786227e-21
19.5	 9.474940633059398e-22
19.75	 8.95739917610017e-22
20.0	 8.474874630341147e-22
20.25	 8.021876339111692e-22
20.5	 7.595130018636942e-22
20.75	 7.190375511751803e-22
21.0	 6.815878520044206e-22
21.25	 6.461037068458902e-22
21.5	 6.125312236939436e-22
21.75	 5.813088679867184e-22
22.0	 5.515722980716127e-22
22.25	 5.235828492225467e-22
22.5	 4.970432576748225e-22
22.75	 4.723303928395885e-22
23.0	 4.48889184543357e-22
23.25	 4.271071294183697e-22
23.5	 4.064320361388851e-22
23.75	 3.8723571632792347e-22
24.0	 3.6914631245618586e-22
24.25	 3.5212426783736446e-22
24.5	 3.361242329853651e-22
24.75	 3.2102647865869258e-22
25.0	 3.0678331114974295e-22
25.25	 2.9330274461722993e-22
25.5	 2.807107051752747e-22
25.75	 2.68844750739158e-22
26.0	 2.5769264638324473e-22
26.25	 2.470809583921837e-22
26.5	 2.3714341652257604e-22
26.75	 2.277904739009075e-22
27.0	 2.1887073810813543e-22
27.25	 2.104584281990151e-22
27.5	 2.024835795811601e-22
27.75	 1.9492511382579722e-22
28.0	 1.8777486519766164e-22
28.25	 1.8100745840986773e-22
28.5	 1.746231657026066e-22
28.75	 1.6860679108505684e-22
29.0	 1.6288017067771018e-22
29.25	 1.5742871402638084e-22
29.5	 1.5227081138550487e-22
29.75	 1.4733906474523313e-22
30.0	 1.4267673251094587e-22
30.25	 1.3823910445311775e-22
30.5	 1.3401119356232898e-22
30.75	 1.2995518458299385e-22
31.0	 1.2612137011624952e-22
31.25	 1.2248795859185507e-22
31.5	 1.1906279855605612e-22
31.75	 1.157613925279063e-22
32.0	 1.126374715625311e-22
32.25	 1.0964054906830775e-22
32.5	 1.0677312395916867e-22
32.75	 1.0403244686154412e-22
33.0	 1.014470305134655e-22
33.25	 9.90928857184006e-23
33.5	 9.682974749528164e-23
33.75	 9.479266849287449e-23
34.0	 9.303171502235138e-23
34.25	 9.167687821910168e-23
34.5	 9.114274518577987e-23
34.75	 9.198505313364775e-23
35.0	 9.555992884049255e-23
35.25	 1.0470386812338883e-22
35.5	 1.2775777862815242e-22
