#freq	 asd
20.0	 8.970980994294882e-23
20.25	 8.468087151181192e-23
20.5	 8.014143747151033e-23
20.75	 7.60302571349065e-23
21.0	 7.229591966356055e-23
21.25	 6.89009071057849e-23
21.5	 6.579578253961267e-23
21.75	 6.293357609416455e-23
22.0	 6.030228022222709e-23
22.25	 5.785559609925387e-23
22.5	 5.55937046795768e-23
22.75	 5.347882758625136e-23
23.0	 5.150718396495774e-23
23.25	 4.966593399907023e-23
23.5	 4.793657267681952e-23
23.75	 4.6310905843008513e-23
24.0	 4.477560719856292e-23
24.25	 4.330560009975615e-23
24.5	 4.191055952859613e-23
24.75	 4.0590947266601207e-23
25.0	 3.934285195559671e-23
25.25	 3.8148656594957574e-23
25.5	 3.7031810649764347e-23
25.75	 3.59585177670048e-23
26.0	 3.4932220084042753e-23
26.25	 3.3953718500335127e-23
26.5	 3.3028245487763954e-23
26.75	 3.215283813289272e-23
27.0	 3.1313096301707374e-23
27.25	 3.0525153562267297e-23
27.5	 2.978204156870378e-23
27.75	 2.90653573864145e-23
28.0	 2.83800986608574e-23
28.25	 2.772841502863083e-23
28.5	 2.71e-23
28.75	 2.6494905170617236e-23
29.0	 2.5919587188070725e-23
29.25	 2.5371243564319034e-23
29.5	 2.4855985194717187e-23
29.75	 2.4362778987627827e-23
30.0	 2.389707095022317e-23
30.25	 2.3463056066932117e-23
30.5	 2.305103034573509e-23
30.75	 2.266042806303535e-23
31.0	 2.2281101857852544e-23
31.25	 2.1916591888338844e-23
31.5	 2.1575785037861312e-23
31.75	 2.123998587570152e-23
32.0	 2.092389782043489e-23
32.25	 2.061225363709655e-23
32.5	 2.0314280691178803e-23
32.75	 2.0032036841020436e-23
33.0	 1.9758415928408834e-23
33.25	 1.949216509267249e-23
33.5	 1.9232355549957993e-23
33.75	 1.8979554789298932e-23
34.0	 1.8737796028348692e-23
34.25	 1.8498999972971513e-23
34.5	 1.826513071401352e-23
34.75	 1.803872223856224e-23
35.0	 1.782094273600586e-23
35.25	 1.7610664382697206e-23
35.5	 1.7407139339937506e-23
35.75	 1.7208457223121426e-23
36.0	 1.7017373475363346e-23
36.25	 1.683258744222052e-23
36.5	 1.6651966850795734e-23
36.75	 1.647851631670764e-23
37.0	 1.63112384569658e-23
37.25	 1.6150975202754784e-23
37.5	 1.599390508912692e-23
37.75	 1.5841669735226776e-23
38.0	 1.5694760272141782e-23
38.25	 1.5552298865441084e-23
38.5	 1.54153008403988e-23
38.75	 1.5284240249354888e-23
39.0	 1.5154982678973936e-23
39.25	 1.5028955386187026e-23
39.5	 1.490768258315155e-23
39.75	 1.4789624741689696e-23
40.0	 1.4674058743238014e-23
40.25	 1.4563859378612525e-23
40.5	 1.4457385655781615e-23
40.75	 1.435168979597873e-23
41.0	 1.4250771908917778e-23
41.25	 1.4151925664021842e-23
41.5	 1.4055408211788086e-23
41.75	 1.3960963433803557e-23
42.0	 1.386722755275906e-23
42.25	 1.377557621299378e-23
42.5	 1.36860147596004e-23
42.75	 1.35985661008799e-23
43.0	 1.3511717137358966e-23
43.25	 1.342652226006422e-23
43.5	 1.3343406611506673e-23
43.75	 1.326197572008032e-23
44.0	 1.3180762496911929e-23
44.25	 1.3099446553194528e-23
44.5	 1.3020791066598067e-23
44.75	 1.2942372270955584e-23
45.0	 1.2864272229706584e-23
45.25	 1.2787063775550665e-23
45.5	 1.2709563328454679e-23
45.75	 1.2633605977708818e-23
46.0	 1.256041400591557e-23
46.25	 1.248581194796718e-23
46.5	 1.2412755536141038e-23
46.75	 1.2340927841941221e-23
47.0	 1.2268577749682316e-23
47.25	 1.2198667960068427e-23
47.5	 1.2128499494991125e-23
47.75	 1.2060203149201095e-23
48.0	 1.1993060493468712e-23
48.25	 1.1926546021376014e-23
48.5	 1.1860480597345117e-23
48.75	 1.1795253282570918e-23
49.0	 1.1731133790047747e-23
49.25	 1.16682046605294e-23
49.5	 1.1606248317178123e-23
49.75	 1.1543331408220072e-23
50.0	 1.1481506869744929e-23
50.25	 1.1421471008587292e-23
50.5	 1.1361954057291378e-23
50.75	 1.1302964212984132e-23
51.0	 1.1245243438894509e-23
51.25	 1.118684495288998e-23
51.5	 1.1129555247178568e-23
51.75	 1.1073120608030963e-23
52.0	 1.101734995359592e-23
52.25	 1.0961956942079275e-23
52.5	 1.0908116244338433e-23
52.75	 1.0854376997322324e-23
53.0	 1.0801597104132333e-23
53.25	 1.0749627900536837e-23
53.5	 1.069906537974229e-23
53.75	 1.0648567978841099e-23
54.0	 1.059860839921921e-23
54.25	 1.0548080394081191e-23
54.5	 1.0499095199111206e-23
54.75	 1.0450406690650848e-23
55.0	 1.0402643894702923e-23
55.25	 1.0355505781950005e-23
55.5	 1.030873416089483e-23
55.75	 1.0262626369502107e-23
56.0	 1.0216408370851276e-23
56.25	 1.0171479735023808e-23
56.5	 1.0126549264186691e-23
56.75	 1.0082088077377622e-23
57.0	 1.0038625403908645e-23
57.25	 9.995273883190996e-24
57.5	 9.952863909448375e-24
57.75	 9.910297674641262e-24
58.0	 9.86845985957282e-24
58.25	 9.827995726494798e-24
58.5	 9.787977319140048e-24
58.75	 9.74864093091955e-24
59.0	 9.708501429159909e-24
59.25	 9.669979317454614e-24
59.5	 9.631199302267604e-24
59.75	 9.592940112395156e-24
60.0	 9.554789374967927e-24
60.25	 9.518298167214557e-24
60.5	 9.48190381727214e-24
60.75	 9.445792714219384e-24
61.0	 9.410233790932084e-24
61.25	 9.374379979497311e-24
61.5	 9.339111306757191e-24
61.75	 9.30475684797835e-24
62.0	 9.270086299490421e-24
62.25	 9.235989389339942e-24
62.5	 9.202825653026357e-24
62.75	 9.169651029346755e-24
63.0	 9.13665693785205e-24
63.25	 9.105273197438943e-24
