# GPStime	 magnitude	 std-mag
1187048771.28	 18.26	 0.15
1187110011.6000001	 17.64	 0.04
1187133318.0	 17.64	 0.08
1187135171.28	 17.52	 0.01
1187136037.0000007	 17.630000000000006	 0.1
1187196411.6000001	 17.52	 0.04
1187219632.0	 17.71	 0.09
1187219732.688	 17.64	 0.08
1187219946.9600003	 17.57	 0.01
1187282811.6000001	 17.57	 0.04
1187306600.1119998	 17.72	 0.07
1187311282.0416	 17.69	 0.02
1187311323.6000001	 17.72	 0.04
1187370075.6000001	 17.77	 0.04
1187392917.9999998	 17.92	 0.1
1187392994.0640001	 18.02	 0.1
1187399451.6	 18.02	 0.07
1187456475.6000001	 17.94	 0.05
1187544603.6	 18.12	 0.04
1187544603.6	 18.6	 0.18
1187628411.6000001	 18.51	 0.05
1187628411.6000001	 18.53	 0.17
1187651489.0000005	 18.790000000000006	 0.14
1187652963.888	 18.74	 0.06
1187738031.6000004	 19.26	 0.26
1187739090.0000002	 19.22	 0.18
1187802075.6000001	 18.83	 0.23
1187802075.6000001	 18.9	 0.09
1187823675.6000001	 19.68	 0.08
1187824574.16	 19.66	 0.14
1187825291.9999986	 19.62	 0.15
1187910939.5999997	 19.63	 0.08
1187912005.0000007	 20.040000000000006	 0.15
1187914994.3520002	 20.17	 0.34
1187974011.6000001	 19.53	 0.21
1187996578.416	 20.05	 0.2
1187999026.0416	 20.24	 0.18
1187999758.8000002	 19.64	 0.14
1188084562.0415998	 20.57	 0.19
1188084603.6	 20.99	 0.21
1188170962.0415998	 21.01	 0.14
1188171003.6	 21.48	 0.3
1188259131.6000004	 21.63	 0.36
