# GPStime	 magnitude	 std-mag
1187111698.0416002	 17.58	 0.1
1187134290.0000002	 17.664	 0.064
1187135026.0416	 17.77	 0.09
1187167858.0416002	 17.98	 0.09
1187198098.0416002	 18.26	 0.12
1187218962.0	 18.354	 0.105
1187221426.0416	 18.4	 0.13
1187253394.0416	 18.62	 0.1
1187284498.0416002	 18.73	 0.11
1187306962.0415998	 18.87	 0.11
1187339794.0416	 19.0	 0.1
1187370898.0416002	 19.23	 0.1
1187392498.0416002	 19.22	 0.1
1187396082.0000002	 19.284	 0.055
1187426194.0416	 19.52	 0.13
1187457298.0416002	 19.68	 0.1
1187513458.0416002	 19.99	 0.14
1187544562.0415998	 20.31	 0.11
1187566290.0000002	 20.142	 0.072
1187588270.16	 20.83	 0.09
1187599858.0416002	 20.39	 0.12
1187630962.0415998	 20.89	 0.13
1187739953.9999998	 21.133	 0.119
1187912753.9999998	 22.052	 0.289
1188000018.0	 23.0	 0.309
