# GPStime	 magnitude	 std-mag
1187049618.0	 17.83	 0.15
1187050395.6	 17.88	 0.03
1187052987.5999997	 17.82	 0.03
1187110011.6000001	 17.51	 0.03
1187133318.0	 17.58	 0.07
1187134402.32	 17.47	 0.01
1187135067.6000001	 17.45	 0.01
1187196411.6000001	 17.69	 0.04
1187219178.0000002	 17.55	 0.01
1187219732.688	 17.73	 0.09
1187221467.6000001	 17.66	 0.02
1187224059.6	 17.76	 0.02
1187282811.6000001	 17.78	 0.05
1187306467.9200003	 17.85	 0.01
1187306600.1119998	 17.95	 0.07
1187307867.6000001	 17.86	 0.02
1187311282.0416	 17.94	 0.02
1187311323.6000001	 17.93	 0.06
1187370075.6000001	 18.13	 0.12
1187392994.0640001	 18.17	 0.07
1187394267.6000001	 18.08	 0.03
1187399451.6	 18.15	 0.06
1187456475.6000001	 18.31	 0.06
1187544603.6	 18.36	 0.05
1187544603.6	 18.65	 0.19
1187567931.6000004	 18.74	 0.04
1187628411.6000001	 18.95	 0.32
1187628411.6000001	 18.98	 0.08
1187652963.888	 19.26	 0.28
1187653467.6000001	 19.07	 0.08
1187738031.6000004	 19.64	 0.11
1187739003.6	 19.69	 0.09
1187802075.6000001	 19.32	 0.08
1187823675.6000001	 20.57	 0.2
1187824574.16	 20.23	 0.1
1187825403.6	 20.06	 0.14
1187910939.5999997	 21.33	 0.3
1187911481.3280003	 21.02	 0.22
1187912667.6000001	 20.94	 0.35
1187999026.0416	 20.35	 0.12
1187999067.6000001	 21.16	 0.4
