# GPStime	 magnitude	 std-mag
1187133318.0	 17.85	 0.15
1187219732.688	 17.66	 0.1
1187306600.1119998	 17.86	 0.1
1187392994.0640001	 17.53	 0.11
1187651739.5999997	 18.06	 0.17
1187652963.888	 18.04	 0.12
1187738031.6000004	 18.35	 0.16
1187739003.6	 18.44	 0.18
1187824539.5999997	 18.43	 0.17
1187824574.16	 18.46	 0.2
1187910939.5999997	 18.91	 0.19
1187911708.0000005	 18.43	 0.25
1187914994.3520002	 18.71	 0.22
1187998579.0000005	 19.03	 0.17
1188084296.9999995	 19.42	 0.16
1188169426.8	 19.67	 0.14
1188170202.999999	 19.63	 0.23
1188257009.0000005	 19.9	 0.21
1188343515.0000007	 20.13	 0.25
1188429835.9999998	 20.43	 0.30000000000000004
1188601910.64	 20.76	 0.35
1188602943.0000005	 20.84	 0.26
