# GPStime	 magnitude	 std-mag
1187049531.6000004	 18.62	 0.05
1187052123.6000001	 18.64	 0.06
1187052210.0	 18.41	 0.15
1187054715.6000001	 18.42	 0.04
1187110011.6000001	 17.91	 0.05
1187134376.4	 17.61	 0.04
1187135067.6000001	 17.77	 0.02
1187196411.6000001	 17.61	 0.04
1187219134.8	 17.55	 0.06
1187220603.6	 17.67	 0.03
1187224059.6	 17.6	 0.04
1187282811.6000001	 17.55	 0.05
1187307003.6	 17.54	 0.02
1187311282.0416	 17.62	 0.02
1187311323.6000001	 17.61	 0.06
1187370075.6000001	 17.57	 0.07
1187393403.6	 17.6	 0.02
1187398587.5999997	 17.72	 0.09
1187456475.6000001	 17.68	 0.04
1187544603.6	 17.69	 0.03
1187544603.6	 18.01	 0.1
1187567067.6000001	 17.84	 0.03
1187628411.6000001	 17.95	 0.04
1187628411.6000001	 18.02	 0.12
1187652603.6	 17.95	 0.04
1187739003.6	 18.25	 0.03
1187802075.6000001	 18.25	 0.21
1187802075.6000001	 18.34	 0.06
1187823675.6000001	 18.5	 0.08
1187825403.6	 18.49	 0.05
1187910075.6000001	 18.77	 0.07
1187911803.6	 18.74	 0.06
1187974011.6000001	 18.64	 0.12
1187998162.0415998	 18.99	 0.05
1187998203.6	 19.41	 0.09
1188083134.8	 19.36	 0.09
1188083739.5999997	 19.44	 0.08
1188084562.0415998	 19.46	 0.04
1188085122.0	 19.32	 0.09
1188085467.6000001	 19.34	 0.08
1188169275.6000001	 19.84	 0.09
1188170917.2000003	 19.52	 0.09
1188171953.9999998	 19.43	 0.09
1188241851.6	 19.35	 0.04
1188255675.6000001	 20.06	 0.1
1188257362.0415998	 19.93	 0.03
1188258267.6000001	 20.02	 0.13
1188328251.6	 19.97	 0.05
1188343000.0800002	 20.23	 0.1
1188343762.0415998	 20.06	 0.05
1188343803.6	 20.43	 0.13
1188430162.0415998	 20.31	 0.08
1188430203.6	 20.95	 0.18
1188516603.6	 20.77	 0.13
1188519154.0416002	 20.61	 0.09
1188601362.0	 20.81	 0.13
1188603003.6	 21.04	 0.09
1188603953.9999998	 20.93	 0.17
1188690226.0416	 20.85	 0.13
1188690267.6000001	 21.23	 0.37
1188861339.5999997	 21.46	 0.08
1189206939.5999997	 22.06	 0.22
