# GPStime	 magnitude	 std-mag
1187111698.0416002	 17.65	 0.05
1187112386.5977602	 17.0	 0.2
1187135026.0416	 17.94	 0.05
1187167858.0416002	 18.34	 0.05
1187198098.0416002	 18.59	 0.05
1187200767.6028798	 18.0	 0.3
1187220562.0415998	 18.81	 0.05
1187253394.0416	 19.1	 0.05
1187284498.0416002	 19.3	 0.05
1187306962.0415998	 19.54	 0.06
1187339794.0416	 19.64	 0.09
1187370898.0416002	 19.94	 0.06
1187392498.0416002	 20.12	 0.08
1187392626.0	 20.238	 0.058
1187393546.999808	 20.14	 0.12
1187426194.0416	 20.33	 0.05
1187457298.0416002	 20.64	 0.07
1187512594.0416	 20.95	 0.07
1187568018.0	 21.268	 0.106
1187740818.0	 22.501	 0.24
1187914482.0000002	 23.379	 0.277
