# GPStime	 magnitude	 std-mag
1187049618.0	 17.35	 0.02
1187111698.0416002	 17.81	 0.04
1187132907.6	 18.22	 0.08
1187133313.6799998	 18.16	 0.05
1187133434.6399999	 18.13	 0.08
1187135026.0416	 18.28	 0.04
1187135568.72	 18.22	 0.04
1187136925.1999998	 18.14	 0.04
1187137037.52	 18.16	 0.06
1187137132.5600002	 18.18	 0.04
1187140001.04	 18.25	 0.06
1187140087.4400003	 18.18	 0.1
1187166994.0416	 18.79	 0.05
1187198098.0416002	 19.25	 0.05
1187200904.3999996	 19.06	 0.07
1187219946.9600003	 19.4	 0.11
1187220562.0415998	 19.51	 0.05
1187222418.0	 19.51	 0.08
1187223282.0000002	 19.33	 0.18
1187223834.96	 19.53	 0.12
1187227057.6799998	 19.59	 0.2
1187255682.0000002	 19.77	 0.2
1187286613.2000003	 19.89	 0.19
1187306113.6799998	 20.54	 0.2
1187307893.52	 20.52	 0.12
1187310165.84	 20.55	 0.15
1187313405.8399997	 20.68	 0.31
1187395218.0	 21.85	 0.22
1187396945.9999998	 21.082	 0.054
1187569745.9999998	 22.361	 0.158
1187741682.0000002	 23.152	 0.256
1187914482.0000002	 23.761	 0.28
