# GPStime	 magnitude	 std-mag
1187050110.48	 17.41	 0.02
1187050533.8400002	 17.41	 0.04
1187050836.24	 17.39	 0.02
1187053938.0000002	 17.32	 0.07
1187084264.3999999	 17.28	 0.12
1187085962.00016	 17.46	 0.08
1187113986.0000002	 18.05	 0.12
1187133253.2	 18.431	 0.057
1187133318.0	 18.49	 0.04
1187133745.6800003	 18.507	 0.039
1187133840.7200003	 18.481	 0.037
1187133935.7599998	 18.615	 0.043
1187134210.0281599	 18.6643835894	 0.02786234183509
1187134290.0000002	 18.61	 0.14
1187134410.9599998	 18.61	 0.03
1187134635.5999997	 18.582	 0.031
1187134730.6399999	 18.547	 0.03
1187134825.6799998	 18.607	 0.038
1187134938.0000002	 18.66	 0.03
1187135516.88	 18.653	 0.034
1187135611.9200003	 18.604	 0.038
1187135698.32	 18.632	 0.037
1187136389.52	 18.693	 0.036
1187136484.5600002	 18.666	 0.03
1187136579.6000004	 18.623	 0.036
1187137270.7999997	 18.683	 0.035
1187137365.84	 18.667	 0.038
1187137452.2400002	 18.568	 0.03
1187140752.7199998	 18.49	 0.12
1187162715.6000001	 18.8	 0.07
1187167899.6	 19.28	 0.17
1187201509.2	 19.93	 0.21
1187201768.3999999	 19.8	 0.2
1187218962.0	 20.314	 0.282
1187219732.688	 20.19	 0.11
1187220497.1465602	 20.209178806500002	 0.0499190807263
1187223886.8	 20.15	 0.33
1187255716.0001283	 20.43	 0.11
1187256843.0	 20.21	 0.12
1187306600.1119998	 21.13	 0.16
1187307577.2268794	 20.928474087799998	 0.082903420644
1187308930.3200004	 20.77	 0.05
1187310545.9999998	 20.94	 0.06
1187312146.0416002	 20.9	 0.01
1187392994.0640001	 21.58	 0.22
1187394435.76896	 21.730717359899998	 0.11150905857389999
1187395598.1599998	 21.75	 0.1
1187396876.88	 21.78	 0.06
1187480753.9999998	 22.507	 0.122
1187480774.5459204	 22.0337508274	 0.422551036617
1187567693.2137606	 22.0821886958	 0.515485013851
1187654200.3238401	 23.2762307856	 0.343197160673
