# GPStime	 magnitude	 std-mag
1187049618.0	 17.67	 0.03
1187049941.2569604	 17.5902045028	 0.02912213500222
1187053938.0000002	 16.854	 0.1
1187069403.6	 17.4	 0.01
1187069597.9999998	 17.26	 0.06
1187133318.0	 17.72	 0.03
1187134013.5199997	 17.62	 0.06
1187134033.0895998	 17.592973982	 0.02197152849233
1187134151.76	 17.61	 0.06
1187134203.6	 17.61	 0.06
1187134290.0000002	 17.611	 0.098
1187136018.0	 17.654	 0.07
1187155803.6	 17.74	 0.01
1187155997.9999998	 17.78	 0.07
1187200904.3999996	 18.25	 0.3
1187219732.688	 18.33	 0.06
1187220317.616	 18.1814465669	 0.029941105181100002
1187220862.8000004	 18.19	 0.2
1187221553.9999998	 18.01	 0.13
1187242397.9999998	 18.31	 0.07
1187286353.9999998	 18.42	 0.34
1187306600.1119998	 18.74	 0.02
1187307401.4979196	 18.5613837282	 0.033571560303100004
1187308818.0	 18.38	 0.05
1187310545.9999998	 18.3	 0.02
1187313010.0416002	 18.46	 0.01
1187329170.384	 18.1	 0.3
1187392994.0640001	 19.07	 0.06
1187393288.4547195	 18.8080891149	 0.02695136163562
1187393490.0000002	 18.73	 0.01
1187395218.0	 18.927	 0.027
1187479146.9600003	 19.08	 0.12
1187479626.7910402	 19.1747243524	 0.10596472572660001
1187483345.9999998	 19.16	 0.03
1187566290.0000002	 19.627	 0.039
1187651808.7199998	 19.87	 0.07
1187652637.4947197	 19.8866873692	 0.0483324550366
1187674203.6	 20.21	 0.04
1187738398.8000002	 20.28	 0.03
1187738398.8000002	 20.4	 0.07
1187739333.9158392	 20.3992008192	 0.0570039787715
1187739953.9999998	 20.606	 0.092
1187824971.6000001	 20.85	 0.04
1187826440.4	 20.69	 0.11
1187826737.7110403	 21.188377312100002	 0.0697123513511
1187911890.0000002	 22.014	 0.214
1187912475.3168	 22.0612285601	 0.128558273522
1187998290.0000002	 22.815	 0.471
1188170139.5999997	 22.3	 0.28
1188257490.0000002	 23.342	 0.368
1188690526.8	 23.37	 0.48
